title,author,publication_year
"Virtual Miracles: 40 True Stories of Love, Courage and the Amazing Kindness of Strangers",Karen Derrico,2003
Happy The Land,Louise Dickinson Rich,1998
It Must Have Been Moonglow: Reflections on the First Years of Widowhood,Phyllis Greene,2003
"Shedding Years : Growing Older, Feeling Younger",PHYLLIS GREENE,2003
I'm Not As Old As I Used to Be: Reclaiming Your Life in the Second Half,Frances Weaver,1997
It Takes a Worried Man: A Memoir,Brendan Halpin,2002
My Utmost for His Highest: Selections for the Year (Christian Library Edition),Oswald Chambers,1987
"You Bet Your Tomatoes: Fun Facts, Tall Tales, and a Handful of Useful Gardening Tips",Mike McGrath,2002
Mom's Little Instruction Book: The Wise and Witty World of Motherhood,Annie Pigeon,1994
Masterpieces of Flower Painting: 24 Cards (Card Books),Hayward Cirker,1997
Heartland,Diane Siebert,1992
Silly Tilly's Thanksgiving Dinner (I Can Read Book 1),Lillian Hoban,1991
The Story of the Pilgrims (Pictureback),H.L. ROSS,1995
The Contract Surgeon,Dan O'Brien,2001
Butterflies! (Know-It-Alls (Hardcover)),Darlene Freeman,1999
The Mason Jar Cookie Cookbook,Lonnette Parks,2002
NAS Pocket Guide to Songbirds and Familiar Backyard Birds: Eastern Region : East (Audubon Society Pocket Guides),Wayne R. Petersen,1994
Familiar Animal Tracks (The Audubon Society Pocket Guides),National Audubon Society,1993
All About Cats and Kittens (All Aboard Books),Emily Neye,1999
"How to Handle 1,000 Things at Once: A Fun Guide to Mastering Home &amp; Personal Management",Don Aslett,1998
"A Grandparent's Gift of Love: True Stories of Comfort, Hope and Wisdom",Edward Fays,2002
Crow and Weasel,Barry Lopez,1993
The Portable Pep Talk : Motivational Morsels for Inspiring You to Succeed,Alexander Lockhart,1997
The Most Important Thing I Know,Lorne A. Adrain,2000
The Quick,Dan Vining,2004
Smithsonian Kids' Field Guides: Birds of North America East,Jo S. Kittinger,2001
Sheep Trick or Treat,Nancy E. Shaw,2000
Dear America: Letters Home from Vietnam,Bernard Edelman,2002
Bury Me With Soldiers: One Grunt's Honest Story About Vietnam,C. W. Standiford,2003
Peterson First Guide to Birds of North America (Peterson First Guide),Roger Tory Peterson,1998
Every Quilt Tells a Story: A Quilter's Stash of Wit and Wisdom,Helen Kelley,2003
Acceptable Loss,"Kregg, P.J. Jorgenson",1995
"Very Crazy, G.I.: Strange but True Stories of the Vietnam War",Kregg P. J. Jorgenson,2001
I Dreyfus,Bernice Rubens,2001
Slacks and Calluses: Our Summer in a Bomber Factory,Constance Reid,1999
The Hope Chest,Rukhsana Ahmad,2002
Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,Dawn J. Ranck,2001
Look and Learn About Animals on the Farm (Look and Learn About...),Bob Bampton,0
House Gun,Nadine Gordimer,0
"DOG DAYS, GLENN MILLER NIGHTS",Laurie Graham,2000
Shadow Box,Antonia Logue,0
Milwaukee,Bernice Rubens,2002
Favorite Recipes from Quilters: More Than 900 Delectable Dishes,Louise Stoltzfus,1992
My Dog Skip,Willie Morris,1996
The Three Day Promise,Donald K. Chung,1989
Sheep in a Jeep,Nancy E. Shaw,1988
A Good Caddie is Hard to Find (Peanuts at Work and Play),Charles M. Schulz,1996
"Wake Up, Sun! (Step-Into-Reading, Step 2)",David Lee Harrison,0
A Day With May Level 1 (FP All Star Readers),Nat Gabriel,2000
Sagebrush and Cappuccino: Confessions of an LA Naturalist,David Wicinas,1995
Your Wealth-Building Years: Financial Planning for 18 to 38 Year-Olds,Adriane G. Berg,1991
What's So Amazing about Grace,Philip Yancey,2000
Such Is My Beloved (New Canadian Library),MORLEY CALLAGHAN,1989
Hide or Seek : How to Build Self-Esteem in Your Child,James C. Dobson,1979
The Rescue (The English Garden Series),Lori Wick,2002
The Box,William Cooke,2002
Maigret on the Defensive,Georges Simenon,1987
A Mystery of Errors,Simon Hawke,2000
A Man Lay Dead (Dead Letter Mysteries),Ngaio Marsh,1997
The Art of Arrow Cutting,Stephen Dedman,1999
The Secrets of the Camera Obscura: Novella,David Knowles,1994
"\Mind-boggling\""--Evening Post: Kolumnen Nr. 96-108, some other stuff, acht unpaginierte Farbseiten, etliche s/w-Abbildungen, sowie Zeichnungen von Katz und Goldt""",Max Goldt,1998
The Battle for God,Karen Armstrong,2000
Drinking Games,Ivan Downnitt,2000
Jewelry Making,Gill Clement,1994
The Vitamin Book,Rich Wentzler,1986
The Kingdom of God Is Within You,Leo Tolstoy,1985
Golfers: Enough Is Enough,Lo Linkert,1989
"Patti's Pearls: Lessons in Living Genuinely, Joyfully, Generously",Patti LaBelle,2002
"Carnal Love: Poems (Sun and Moon Classics, No 121)",Henri Deluy,1996
Everywoman: A gynaecological guide for life (Faber paperbacks),Derek Llewellyn-Jones,1972
Home Sweet Home,Ruby Jean Jensen,1985
Bedeviled (Topaz Historical Romances),Bronwyn Williams,1995
The Forsaken,Cameron Read,1982
Winter Palace,Dennis Jones,1989
Littles (R),John Peterson,1982
Primal Skin (Black Lace),Leona Benkt Rhys,2000
"Obsolete Man (Man Of The Month) (Silhouette Desire, No 895)",Ellen Small,1994
The Terrorist (Point),Caroline B. Cooney,1999
Judge Dredd (Adult Novel),Neal Barrett Jr,1995
The LEMONADE RAID THE NANCY DREW NOTEBOOKS 19,Carolyn Keene,1997
"Once upon a Time... Through the Looking Glass (Loveswept, No 408)",Kay Hooper,1990
Scarlet Memorial: Tales of Cannibalism in Modern China,Yi Zheng,1996
Diary of an Old Soul: 366 Writings for Devotional Reflection,George MacDonald,1994
Yet Life Was a Triumph: Poems and Meditations,Sharon M. Carr,1991
The Green Mile: The Complete Six Part Novel,Stephen King,1996
Gaia: The Growth of an Idea,Lawrence E. Joseph,1991
The Sunbird,Wilbur Smith,2002
Dark Star Safari: Overland from Cairo to Cape Town,Paul Theroux,2003
Who in Hell Is Wanda Fuca?,G.M. Ford,1996
Inside Prime Time,Todd Gitlin,1985
SOMEBODY'S DARLING (A Touchstone Book),Larry McMurtry,1987
Acts of Aggression: Policing Rogue States (Open Media Series),Noam Chomsky,2002
Against War with Iraq: An Anti-War Primer,Michael Ratner,2003
Grandparenting Today: Making the Most of Your Grandparenting Skills With Grandchildren of All Ages (Reader's Digest),Eleanor Berman,1997
Why We Rule! 101 Great Reasons to Love Our Country,Rob Cohen,2002
"Alien Island (Gerry Anderson's Space Precinct, No 3)",David Bischoff,1996
A Stranger in the Kingdom: A Novel,Howard Frank Mosher,2002
The Quick and the Dead,LOUIS L'AMOUR,1982
Married: A Fine Predicament,Anne Roiphe,2003
The Blessing of a Skinned Knee: Using Jewish Teachings to Raise Self-Reliant Children,Wendy Mogel,2001
The Delta Function/LA Duncion Delta (European Women Writers Series),Rosa Montero,1992
Chiropractic First: The Fastest Growing Healthcare Choice Before Drugs or Surgery,Terry A. Rondberg,1996
Power Health - Back to Basics,Dr Martin P. Rutherford,2003
Le diable en tร?ยชte,Bernard-Henri Lร?ยฉvy,1986
Qui a tuร?ยฉ Daniel Pearl ?,Bernard-Henri Lร?ยฉvy,2003
L'aprร?ยจs-midi bleu,William Boyd,1993
Une veuve de papier,John Irving,1999
"Gรฉnis, ou, Le bambou parapluie: Roman",Denis Guedj,1999
Le Cavalier du Baร?ยฏkal,Bernard Clavel,2000
L'Homme qui tua Getร?ยบlio Vargas,Jร?ยด Soares,2000
Lolita,Vladimir Nabokov,0
Automatic Vaudeville: Essays on Star Turns/31622,John Lahr,1987
Beethoven or Bust: A Practical Guide to Understanding and Listening to Great Music,David Hurwitz,1992
Jerry Lewis: In Person,Jerry Lewis,1982
How to Make the World a Better Place: A Guide to Doing Good,Jeffrey Hollender,1990
Berlin-Palรคstina und zurรผck: Erinnerungen,Gรผnter Stillmann,1989
It Could Happen to You,Isla Dewar,0
Erschossen in Zicherie: Vom Leben und Sterben des Journalisten Kurt Lichtenstein,Rainer Zunder,1994
Fear of Custard,Sarah Kavanagh,2000
Und Gott schuf Paris.,Ulrich Wickert,1998
Wenn der Lร?ยถwe brร?ยผllt.,Hermann Koch,1997
Teranesia,Greg Egan,2000
Democratic Delusions: The Initiative Process in America,Richard J. Ellis,2002
Slow Burn (Leo Waterman Mysteries (Paperback)),G.M. Ford,1999
Bishop As Pawn,William X. Kienzle,1995
The Renaissance of American Steel: Lessons for Managers in Competitive Industries,Roger S. Ahlbrandt,1996
Life After Television,George Gilder,1994
Antarctic Navigation: A Novel,Elizabeth Arthur,1996
Stormwarden,Janny Wurts,1984
The Chicago Guide to Your Academic Career: A Portable Mentor for Scholars from Graduate School Through Tenure,John A. Goldsmith,2001
Tomorrow's Professor : Preparing for Careers in Science and Engineering,Richard M.  Reis,1997
The Academic Job Search Handbook (3rd Edition),Mary Morris Heiberger,2001
Girl Meets God : On the Path to a Spiritual Life,LAUREN WINNER,2004
Lifting a Ton of Feathers: A Woman's Guide to Surviving in the Academic World,Paula J. Caplan,1993
Rosalind Franklin: The Dark Lady of DNA,Brenda Maddox,2002
Wild Magic,Jo Clayton,1991
And Then They Were Nuns: A Novel,Susan J. Leonardi,2003
A Point of Honor,Dorothy J. Heydt,1998
The White Mists of Power,Kristine Kathryn Rusch,1994
"Keeper of the Keys (Cycle of Fire, No 2)",Janny Wurts,1995
Lonely Planet Barcelona (Lonely Planet Barcelona),Damien Simonis,2002
Noble Intentions,Katie Macalister,2002
The Gore Experiment,H. Jay Scheuermann,2003
Sun In Glory (A Valdemar Anthology),Mercedes Lackey,2003
The Abbey Up the Hill: A Year in the Life of a Monastic Day-Tripper,Carol Bonomo,2002
"To Quell the Terror: The Mystery of the Vocation of the Sixteen Carmelites of Compiegne Guillotined July 17, 1794",William Bush,1999
Taliban. Afghanistans Gotteskrieger und der Dschihad,Ahmed Rashid,2001
A Reader's Guide to Science Fiction,Baird Searles,1979
Reader's Guide to Fantasy,Michael Franklin,1982
Martian Time Slip,Philip K. Dick,1991
Nuclear Madness (Bantam Book),Helen Caldicott,1980
Get Off the Unicorn,McCaffrey,1977
Up the Line,Robert Silverberg,1985
Lost Love Found,Bertrice Small,1991
The Coming of the King (The First Book of Merlin),Nikolai Tolstoy,1990
A Swiftly Tilting Planet,Madeleine L'Engle,1978
The Confession of Brother Haluin,Ellis Peters,1989
Vanishing Point,Michaela Roessner,1993
The Raven in the Foregate (Brother Cadfael Mysteries),Ellis Peters,1988
Monk's Hood: The Third Chronicle of Brother Cadfael (Brother Cadfael Mysteries),Ellis Peters,1989
Devil's Novice (Brother Cadfael Mysteries),Ellis Peters,1989
The Holy Thief: The Nineteenth Chronicle of Brother Cadfael,Ellis Peters,1994
Dead Man's Ransom (Brother Cadfael Mysteries),Ellis Peters,1989
The Sanctuary Sparrow (Brother Cadfael Mysteries),Ellis Peters,1984
Saint Peter's Fair (Medieval Murder Mystery),Ellis Peters,1989
The Leper of Saint Giles (Brother Cadfael Mysteries),Ellis Peters,1985
Triangle,Sondra Marshak,0
Joy of the Rosary: A Way into Meditative Prayer,Anne Vail,1998
Threads: The Reincarnation of Anne Boleyn,Nell Gavin,2002
Star Trek IV The Voyage Home (Star Trek),Vonda N. McIntyre,1989
The CUSTOM OF THE COUNTRY,Edith Wharton,1997
Athenais: The Life of Louis XIV Mistress-the Real Queen of France,Lisa Hilton,2002
FALLEN ANGELS,Larry Niven,1991
Revenge: A Novel,Stephen Fry,2003
Only Begotten Daughter (Harvest Book),James Morrow,1996
Faith and Treason : The Story of the Gunpowder Plot,ANTONIA FRASER,1997
Shroud for the Archbishop: A Sister Fidelma Mystery (Sister Fidelma Mysteries (Paperback)),Peter Tremayne,1998
An Important Office of Immense Love: A Handbook for Eucharistic Ministers,Joseph M. Champlin,1997
The Story of a Life : St. Theresa of Lisieux,Guy Gaucher,1993
Jesuits: History and Legend of the Society of Jesus,Manfred Barthel,1984
Happy Are You Poor: The Simple Life and Spiritual Freedom,Thomas Dubay,2002
Death on a Friday Afternoon: Meditations on the Last Words of Jesus from the Cross,Richard John Neuhaus,2000
"Frankly, My Dear (Timeswept)",Sandra Hill,1999
New Mexico (The America Series),Tanya Lloyd,1999
Bent Halos and Other Saintly Stories: The Lives of One Hundred Saintly Men and Women,C. T. Thomas,1999
Prayer Primer: Igniting a Fire Within,Thomas Dubay,2002
"When I Was Your Age, We Didn't Even Have Church: Chronicles of a Catholic Parent",Kevin Cowherd,1995
Letters from Saints to Sinners,John Cumming,1996
"Rosary: Mysteries, Meditations, and the Telling of the Beads",Kevin Orlin Johnson,1997
"War Dragons (Star Trek: The Captain's Table, Book 1)",L. A. Graf,1998
The How-To Book of Catholic Devotions: Everything You Need to Know but No One Ever Taught You,Mike Aquilina,2000
Growing Free: A Carmelite Remembers,Joan Williams,1988
"The Way of the Wolf (The Vampire Earth, Book 1)",E. E. Knight,2003
Thirty Days: On Retreat With the Exercises of St. Ignatius,Paul Mariani,2003
Navarre Bible: St. Luke,Navarre U Theological Faculty,1991
Terry: My Daughter's Life-And-Death Struggle With Alcoholism,George McGovern,1997
The Arousers,Gerald A. Browne,1989
SKIN OF THE SOUL,Lisa Tuttle,1991
Strong As Death (Catherine LeVendeur),Sharan Newman,1997
Shakespeare's Planet,Clifford D. Simak,1987
The Difficult Saint : A Catherine LeVendeur Mystery (Catherine LeVendeur),Sharan Newman,2000
Catfantastic III (Daw Book Collectors),Andre Norton,1994
RISE AND FALL OF THE THIRD REICH,William L. Shirer,1981
The Fifth Generation: Artificial Intelligence and Japan's Computer Challenge to the World,Edward A. Feigenbaum,1983
Distant Neighbors: A Portrait of the Mexicans,Alan Riding,1985
Success!,Michael Korda,1977
Crusader's Torch,Chelsea Quinn Yarbro,1989
Blood Games,Chelsea Quinn Yarbro,1988
"The Last Grand Duchess: Her Imperial Highness Grand Duchess  Olga Alexandrovna, 1 June 1882-24  November 1960",Ian Vorres,2001
Images of Mary,Alfred McBride,1999
A Peace to End All Peace: The Fall of the Ottoman Empire and the Creation of the Modern Middle East,David Fromkin,2001
"Millionaire : The Philanderer, Gambler, and Duelist Who Invented Modern Finance",Janet Gleeson,2001
Why Not Be a Mystic?,Frank X. Tuoti,1995
Responses to 101 Questions on the Bible,Raymond E. Brown,1990
Lucy's Eyes and Margaret's Dragon: The Lives of the Virgin Saints,Giselle Potter,1997
The Genesee Diary: Report from a Trappist Monastery,Henri J. M. Nouwen,1981
The Number of the Beast,Robert Heinlein,1989
Celine: Sister Genevieve of the Holy Face : Sister and Witness of Saint Therese of the Child Jesus,Stephane Joseph Piat,1997
Calling: A Year in the Life of an Order of Nuns,Catherine Whitney,2000
"In Good Company: The Fast Track from the Corporate World to Poverty, Chastity, and Obedience","James, S.J. Martin",2000
At the Root of This Longing: Reconciling a Spiritual Hunger and a Feminist Thirst,Carol Lee Flinders,1998
In His Steps Nelson's Royal Classics,Charles Monroe Sheldon,1999
God's fool: The life and times of Francis of Assisi,Julien Green,1985
Love God ... Clean House ... Help Others (Illumination Books),Duane F. Reinert,1996
El hombre duplicado,Jose Saramago,2002
The Talmud and the Internet: A Journey between Worlds,Jonathan Rosen,2000
Maurice and Therese : The Story of a Love,PATRICK AHERN,2001
When Jesus Became God: The Struggle to Define Christianity during the Last Days of Rome,Richard E. Rubenstein,2000
American Catholic: The Saints and Sinners Who Built America's Most Powerful Church,Charles Morris,1998
Merton: A Biography,Monica Furlong,1981
Jesus Through the Centuries: His Place in the History of Culture,Jaroslav Pelikan,1987
To Love Fasting: The Monastic Experience,Adalbert De Vogue,1994
Friends of God and Prophets: A Feminist Theological Reading of the Communion of Saints,Elizabeth A. Johnson,1999
The Good Heart: A Buddhist Perspective on the Teachings of Jesus,Bstan-Dzin-Rgya-Mtsho,1998
"Meister Eckhart and the Beguine Mystics: Hadewijch of Brabant, Mechthild of Magdeburg, and Marguerite Porete",Bernard McGinn,1997
For the Love of God: The Faith and Future of the American Nun,Lucy Kaylin,2001
Elizabeth: Grand Duchess of Russia,Hugo Mager,1999
The Law,Frederic Bastiat,1998
Lizzie McGuire: The Rise and Fall of the Kate Empire - Book #4 : Junior Novel (Lizzie McGuire (Numbered)),Kirsten Larsen,2002
The Roosevelt Women,Betty Boyd Caroli,1998
Son of Holmes &amp; Rasputin's Revenge: The Early Works of John T. Lescroart,John T. Lescroart,1995
Glass People,Gail Godwin,1996
Swift Justice: Murder and Vengeance in a California Town,Harry Farrell,1993
Down to a Sunless Sea : A Tiller Galloway Underwater Thriller (A Tiller Galloway Thriller),David Poyer,1998
"Woodrow Wilson: Revolution, War, and Peace",Arthur Stanley Link,1979
Alongside Night,L. N. Schulman,1982
Seize the Day,Saul Bellow,1977
Painting Techniques &amp; Faux Finishes,Louise Hennigs,1999
Hiroshima in America: A Half Century of Denial,Robert Jay Lifton,1996
Up from Eden: A Transpersonal View of Human Evolution,Ken Wilber,1996
Managing Planet Earth: Readings from Scientific American Magazine,Scientific American,1990
The Green Consumer Supermarket Guide,Joel Makower,1991
Tale Of Two Cities (Greenwich House Classics Library),Charles Dickens,1988
The Great Automatic Grammatizator (Puffin Teenage Books),Roald Dahl,2001
Black Hills/White Justice: The Sioux Nation Versus the United States : 1775 to the Present,Edward Lazarus,1991
